"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"08-Mar-2022","EQ","1,267.50","1,285.00","1,240.00","1,255.50","1,284.00","1,268.10","1,258.95","1,689.00","286.35",306910,"386,383,639.05",25148
"07-Mar-2022","EQ","1,270.00","1,289.85","1,250.00","1,309.70","1,255.00","1,255.50","1,265.32","1,689.00","286.35",333848,"422,423,558.35",22302
"04-Mar-2022","EQ","1,299.00","1,325.00","1,280.00","1,301.50","1,302.00","1,309.70","1,309.00","1,689.00","286.35",365791,"478,819,084.70",15601
"03-Mar-2022","EQ","1,359.00","1,379.35","1,288.05","1,334.65","1,290.00","1,301.50","1,339.83","1,689.00","286.35",416411,"557,921,259.00",18079
"02-Mar-2022","EQ","1,329.00","1,353.80","1,317.90","1,335.30","1,327.00","1,334.65","1,336.08","1,689.00","286.35",302214,"403,782,846.70",14084
"28-Feb-2022","EQ","1,325.25","1,366.05","1,299.65","1,332.15","1,330.20","1,335.30","1,331.92","1,689.00","286.35",420705,"560,345,512.00",22037
"25-Feb-2022","EQ","1,298.00","1,380.00","1,264.65","1,239.85","1,322.00","1,332.15","1,328.54","1,689.00","286.35",556225,"738,967,709.45",29060
"24-Feb-2022","EQ","1,270.00","1,312.45","1,213.10","1,324.00","1,242.00","1,239.85","1,252.88","1,689.00","286.35",470590,"589,591,457.85",30476
"23-Feb-2022","EQ","1,314.00","1,336.00","1,272.00","1,284.65","1,320.75","1,324.00","1,314.82","1,689.00","286.35",434836,"571,731,077.60",20465
"22-Feb-2022","EQ","1,272.00","1,303.85","1,270.00","1,324.95","1,275.70","1,284.65","1,289.57","1,689.00","286.35",268800,"346,636,165.10",15696
"21-Feb-2022","EQ","1,295.00","1,338.05","1,287.90","1,299.05","1,319.50","1,324.95","1,319.85","1,689.00","286.35",579478,"764,823,105.80",28502
"18-Feb-2022","EQ","1,290.00","1,315.60","1,290.00","1,307.45","1,297.00","1,299.05","1,302.35","1,689.00","286.35",163450,"212,869,738.40",6732
"17-Feb-2022","EQ","1,318.00","1,329.00","1,300.00","1,311.10","1,301.00","1,307.45","1,310.98","1,689.00","286.35",218464,"286,401,104.65",14635
"16-Feb-2022","EQ","1,286.95","1,344.00","1,285.00","1,274.20","1,300.00","1,311.10","1,316.58","1,689.00","286.35",351902,"463,306,944.70",19555
"15-Feb-2022","EQ","1,180.40","1,286.80","1,180.40","1,230.40","1,268.70","1,274.20","1,233.93","1,689.00","286.35",664919,"820,461,606.55",33374
"14-Feb-2022","EQ","1,250.00","1,287.55","1,202.95","1,306.95","1,245.05","1,230.40","1,250.00","1,689.00","286.35",672985,"841,231,834.60",29160
"11-Feb-2022","EQ","1,346.90","1,355.25","1,300.00","1,363.50","1,307.00","1,306.95","1,323.41","1,689.00","286.35",392989,"520,086,732.50",19117
"10-Feb-2022","EQ","1,347.75","1,382.45","1,327.65","1,337.05","1,364.90","1,363.50","1,360.19","1,689.00","286.35",390501,"531,155,707.95",17461
"09-Feb-2022","EQ","1,354.90","1,380.00","1,325.00","1,346.45","1,341.85","1,337.05","1,344.82","1,689.00","286.35",362687,"487,748,214.95",18465
"08-Feb-2022","EQ","1,320.00","1,367.00","1,315.00","1,342.00","1,330.00","1,346.45","1,343.02","1,689.00","286.35",652255,"875,992,334.30",28768
"07-Feb-2022","EQ","1,384.15","1,388.70","1,325.00","1,384.25","1,342.00","1,342.00","1,355.25","1,689.00","286.35",349633,"473,841,807.05",23240
"04-Feb-2022","EQ","1,400.00","1,407.20","1,380.00","1,402.90","1,380.00","1,384.25","1,393.47","1,689.00","286.35",205000,"285,661,353.10",12765
"03-Feb-2022","EQ","1,419.00","1,425.00","1,396.00","1,410.30","1,397.00","1,402.90","1,410.57","1,689.00","286.35",373633,"527,035,788.30",20360
"02-Feb-2022","EQ","1,397.40","1,415.00","1,390.60","1,386.85","1,411.00","1,410.30","1,407.15","1,689.00","286.35",222392,"312,938,040.35",10867
"01-Feb-2022","EQ","1,399.90","1,418.25","1,343.15","1,394.90","1,391.95","1,386.85","1,387.63","1,689.00","286.35",374599,"519,804,481.20",32798
"31-Jan-2022","EQ","1,418.90","1,420.00","1,385.95","1,406.25","1,390.00","1,394.90","1,398.40","1,689.00","286.35",279518,"390,878,297.95",19048
"28-Jan-2022","EQ","1,414.00","1,425.00","1,394.30","1,405.00","1,409.00","1,406.25","1,411.77","1,689.00","286.35",382318,"539,746,486.65",25104
"27-Jan-2022","EQ","1,380.00","1,429.95","1,379.95","1,416.80","1,399.50","1,405.00","1,411.22","1,689.00","286.35",525829,"742,062,452.30",29693
"25-Jan-2022","EQ","1,320.00","1,428.30","1,284.80","1,345.35","1,420.00","1,416.80","1,388.34","1,689.00","286.35",1186553,"1,647,337,437.85",55795
"24-Jan-2022","EQ","1,514.00","1,516.00","1,261.10","1,513.50","1,348.00","1,345.35","1,391.08","1,689.00","286.35",1719765,"2,392,323,529.50",88594
"21-Jan-2022","EQ","1,489.60","1,527.80","1,450.00","1,486.70","1,509.00","1,513.50","1,504.39","1,689.00","286.35",1643321,"2,472,191,480.10",55063
"20-Jan-2022","EQ","1,425.00","1,498.65","1,421.40","1,419.55","1,484.95","1,486.70","1,462.98","1,689.00","286.35",1767363,"2,585,625,064.50",57641
"19-Jan-2022","EQ","1,394.95","1,426.00","1,375.10","1,383.90","1,423.00","1,419.55","1,407.31","1,689.00","286.35",1635000,"2,300,946,641.20",50241
"18-Jan-2022","EQ","1,399.40","1,429.65","1,368.00","1,358.60","1,381.10","1,383.90","1,398.66","1,689.00","286.35",3527928,"4,934,363,088.60",108650
"17-Jan-2022","EQ","1,333.00","1,384.75","1,322.65","1,322.05","1,361.00","1,358.60","1,354.89","1,689.00","286.35",1437919,"1,948,221,305.70",47425
"14-Jan-2022","EQ","1,290.00","1,340.00","1,275.50","1,287.80","1,318.60","1,322.05","1,313.31","1,689.00","286.35",1208657,"1,587,338,978.55",39733
"13-Jan-2022","EQ","1,253.10","1,295.65","1,243.10","1,249.85","1,290.00","1,287.80","1,281.05","1,689.00","286.35",867016,"1,110,686,557.00",25944
"12-Jan-2022","EQ","1,270.00","1,287.30","1,244.60","1,257.90","1,249.50","1,249.85","1,263.02","1,689.00","286.35",372425,"470,379,769.10",19950
"11-Jan-2022","EQ","1,273.90","1,281.00","1,253.00","1,274.80","1,257.50","1,257.90","1,266.01","1,689.00","286.35",254085,"321,675,129.70",12299
"10-Jan-2022","EQ","1,241.90","1,282.50","1,235.00","1,231.60","1,270.00","1,274.80","1,269.82","1,689.00","286.35",723125,"918,239,696.00",26248
"07-Jan-2022","EQ","1,279.25","1,279.50","1,218.00","1,266.85","1,230.05","1,231.60","1,245.56","1,689.00","286.35",497718,"619,937,770.75",23288
"06-Jan-2022","EQ","1,233.70","1,271.30","1,216.25","1,242.30","1,269.95","1,266.85","1,250.91","1,689.00","286.35",626297,"783,444,179.15",23066
"05-Jan-2022","EQ","1,220.00","1,246.65","1,208.00","1,219.35","1,243.00","1,242.30","1,235.05","1,689.00","286.35",502200,"620,242,564.60",20141
"04-Jan-2022","EQ","1,240.00","1,259.50","1,208.00","1,216.60","1,214.00","1,219.35","1,231.19","1,689.00","286.35",936612,"1,153,143,710.15",35611
"03-Jan-2022","EQ","1,190.00","1,244.00","1,185.60","1,182.05","1,219.00","1,216.60","1,207.62","1,689.00","286.35",385970,"466,105,456.75",18410
"31-Dec-2021","EQ","1,180.00","1,200.65","1,177.00","1,191.45","1,180.00","1,182.05","1,189.68","1,689.00","286.35",143995,"171,307,508.35",8497
"30-Dec-2021","EQ","1,203.40","1,204.00","1,181.40","1,193.30","1,188.00","1,191.45","1,193.81","1,689.00","286.35",225079,"268,702,608.45",16386
"29-Dec-2021","EQ","1,167.00","1,203.00","1,161.15","1,162.60","1,195.00","1,193.30","1,187.17","1,689.00","286.35",295726,"351,078,077.20",23637
"28-Dec-2021","EQ","1,148.30","1,190.75","1,148.30","1,142.15","1,167.50","1,162.60","1,174.82","1,689.00","286.35",276726,"325,102,995.85",17378
"27-Dec-2021","EQ","1,153.00","1,159.95","1,130.70","1,160.30","1,145.80","1,142.15","1,146.09","1,689.00","286.35",109751,"125,784,234.20",7250
"24-Dec-2021","EQ","1,174.80","1,183.65","1,141.05","1,169.95","1,156.90","1,160.30","1,159.84","1,689.00","286.35",212711,"246,711,043.95",14683
"23-Dec-2021","EQ","1,189.25","1,213.00","1,162.05","1,181.60","1,165.00","1,169.95","1,192.03","1,689.00","286.35",329555,"392,839,945.50",15773
